student_id,voted_for
S0206,Rosanne
S0207,Marcus
S0208,Marcus
S0209,Marcus
S0210,Marcus
S0211,Marcus
S0212,Rosanne
S0213,Marcus
S0214,Marcus
S0215,Marcus
S0216,Rosanne
S0217,Marcus
S0218,Marcus
S0219,Marcus
S0220,Rosanne
S0221,Marcus
S0222,Marcus
S0223,Marcus
S0224,Marcus
S0225,Marcus
S0226,Marcus
S0227,Marcus
S0228,Rosanne
S0229,Rosanne
S0230,Marcus
S0231,Marcus
S0232,Marcus
S0233,Marcus
S0234,Marcus
S0235,Marcus
S0236,Marcus
S0237,Rosanne
S0238,Marcus
S0239,Marcus
S0240,Marcus
S0241,Marcus
S0242,Marcus
S0243,Rosanne
S0244,Marcus
S0245,Marcus
S0246,Rosanne
S0247,Marcus
S0248,Rosanne
S0249,Rosanne
S0250,Rosanne
S0251,Rosanne
S0252,Rosanne
S0253,Rosanne
S0254,Rosanne
S0255,Rosanne
S0256,Marcus
S0257,Rosanne
S0258,Marcus
S0259,Marcus
S0260,Rosanne
S0261,Marcus
S0262,Rosanne
S0263,Rosanne
S0264,Rosanne
S0265,Rosanne
S0266,Marcus
S0267,Rosanne
S0268,Marcus
S0269,Marcus
S0270,Marcus
S0271,Marcus
S0272,Marcus
S0273,Marcus
S0274,Marcus
S0275,Marcus
S0276,Marcus
S0277,Marcus
S0278,Rosanne
S0279,Rosanne
S0280,Marcus
S0281,Marcus
S0282,Marcus
S0283,Marcus
S0284,Rosanne
S0285,Rosanne
S0286,Marcus
S0287,Rosanne
S0288,Marcus
S0289,Marcus
S0290,Rosanne
S0291,Marcus
S0292,Rosanne
S0293,Marcus
S0294,Marcus
S0295,Marcus
S0296,Rosanne
S0297,Rosanne
S0298,Rosanne
S0299,Rosanne
S0300,Rosanne
