"","RESPONDENT_RACE","PARTNER_RACE","respondent_education","partner_education","PPPARTYID3","Q12"
"42","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"43","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"44","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"45","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"46","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"47","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"48","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"49","(3) NH Amer Indian","(1) NH white","Bachelors","Advanced degree","(3) democrat","(5) no preference"
"50","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"51","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"52","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"53","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(5) no preference"
"54","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"55","(1) NH white","(6) Hispanic","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"56","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"57","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"58","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"59","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"60","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"61","(1) NH white","(1) NH white","Bachelors","Bachelors","(2) other","(1) republican"
"62","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"63","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"64","(6) Hispanic","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(5) no preference"
"65","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"66","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"67","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"68","(5) NH Other","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"69","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(1) republican"
"70","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(5) no preference"
"71","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"72","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"73","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"74","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"75","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"76","(3) NH Amer Indian","(4) NH Asian Pac Islander","Advanced degree","Advanced degree","(3) democrat","(5) no preference"
"77","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"78","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"79","(2) NH black","(3) NH Amer Indian","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"80","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"81","(5) NH Other","(1) NH white","Advanced degree","Advanced degree","(2) other","(5) no preference"
"82","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"83","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"84","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(1) republican"
"85","(4) NH Asian Pac Islander","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"86","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(3) independent"
"87","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"88","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"89","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"90","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"91","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"92","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"93","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"94","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"95","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"96","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"97","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(1) republican"
"98","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"99","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"100","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"101","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"102","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"103","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"104","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"105","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"106","(2) NH black","(5) NH Other","Bachelors","Advanced degree","(3) democrat","(5) no preference"
"107","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"108","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"109","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"110","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"111","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"112","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"113","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"114","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"115","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"116","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"117","(6) Hispanic","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"118","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"119","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"120","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"121","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"122","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"123","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"124","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"125","(6) Hispanic","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(3) independent"
"126","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"127","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"128","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"129","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"130","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"131","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"132","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"133","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"134","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"135","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"136","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"137","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"138","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"139","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"140","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"141","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"142","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"143","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"144","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"145","(5) NH Other","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"146","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"147","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"148","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"149","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"150","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"151","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(3) independent"
"152","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(2) democrat"
"153","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"154","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"155","(6) Hispanic","(2) NH black","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"156","(3) NH Amer Indian","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"157","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"158","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(2) democrat"
"159","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"160","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"161","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"162","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"163","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"164","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"165","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"166","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"167","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"168","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"169","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"170","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"171","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"172","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"173","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"174","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"175","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"176","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"177","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"178","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(1) republican"
"179","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"180","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"181","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"182","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"183","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"184","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"185","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"186","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"187","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"188","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"189","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"190","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"191","(1) NH white","(4) NH Asian Pac Islander","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"192","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"193","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"194","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"195","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"196","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"197","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"198","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(3) independent"
"199","(1) NH white","(2) NH black","Less than Bachelors","Bachelors","(1) republican","(5) no preference"
"200","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"201","(5) NH Other","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"202","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(4) another party, please specify"
"203","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"204","(2) NH black","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"205","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"206","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"207","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"208","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"209","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"210","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"211","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"212","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"213","(5) NH Other","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"214","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"215","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"216","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"217","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"218","(1) NH white","(6) Hispanic","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"219","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"220","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"221","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(5) no preference"
"222","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"223","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"224","(3) NH Amer Indian","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"225","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"226","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"227","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"228","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"229","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"230","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"231","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"232","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"233","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(4) another party, please specify"
"234","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"235","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"236","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"237","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"238","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"239","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"240","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"241","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"242","(6) Hispanic","(2) NH black","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"243","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"244","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"245","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"246","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"247","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"248","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(4) another party, please specify"
"249","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"250","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"251","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"252","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"253","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"254","(6) Hispanic","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"255","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"256","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"257","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"258","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"259","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"260","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"261","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"262","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"263","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"264","(6) Hispanic","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"265","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"266","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"267","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(3) independent"
"268","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"269","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"270","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"271","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"272","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"273","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(5) no preference"
"274","(6) Hispanic","(6) Hispanic","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"275","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"276","(1) NH white","(1) NH white","Bachelors","Bachelors","(2) other","(1) republican"
"277","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(1) republican"
"278","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"279","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"280","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(5) no preference"
"281","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"282","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(3) independent"
"283","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"284","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(2) democrat"
"285","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"286","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"287","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"288","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"289","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"290","(1) NH white","(4) NH Asian Pac Islander","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"291","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"292","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
